op_type,key,latency_ms,status_code,ok,stale,write_read_gap_ms,node
write,key-0049,1229.769,201,True,,,http://localhost:8011
write,key-0089,1230.233,201,True,,,http://localhost:8011
write,key-0097,1229.82,201,True,,,http://localhost:8011
write,key-0056,1229.961,201,True,,,http://localhost:8011
write,key-0068,1229.701,201,True,,,http://localhost:8011
write,key-0067,1231.119,201,True,,,http://localhost:8011
write,key-0090,1232.41,201,True,,,http://localhost:8011
write,key-0057,1228.05,201,True,,,http://localhost:8011
write,key-0068,1227.088,201,True,,,http://localhost:8011
write,key-0048,1227.946,201,True,,,http://localhost:8011
write,key-0097,1238.338,201,True,,,http://localhost:8011
read,key-0049,3.053,200,True,False,12306.203,http://localhost:8013
write,key-0058,1218.872,201,True,,,http://localhost:8011
write,key-0017,1227.563,201,True,,,http://localhost:8011
write,key-0014,1230.786,201,True,,,http://localhost:8011
write,key-0040,1228.998,201,True,,,http://localhost:8011
write,key-0083,1236.77,201,True,,,http://localhost:8011
write,key-0003,1219.781,201,True,,,http://localhost:8011
write,key-0017,1223.699,201,True,,,http://localhost:8011
read,key-0089,3.944,200,True,False,19666.66,http://localhost:8014
write,key-0051,1223.046,201,True,,,http://localhost:8011
read,key-0097,6.707,200,True,False,19663.878,http://localhost:8015
write,key-0094,1222.438,201,True,,,http://localhost:8011
write,key-0056,1229.266,201,True,,,http://localhost:8011
write,key-0049,1221.572,201,True,,,http://localhost:8011
write,key-0036,1228.128,201,True,,,http://localhost:8011
write,key-0071,1231.963,201,True,,,http://localhost:8011
write,key-0069,1218.366,201,True,,,http://localhost:8011
write,key-0040,1261.847,201,True,,,http://localhost:8011
write,key-0006,1229.748,201,True,,,http://localhost:8011
write,key-0081,1231.743,201,True,,,http://localhost:8011
write,key-0036,1235.411,201,True,,,http://localhost:8011
write,key-0043,1236.013,201,True,,,http://localhost:8011
write,key-0013,1240.97,201,True,,,http://localhost:8011
write,key-0000,1244.712,201,True,,,http://localhost:8011
write,key-0093,1233.969,201,True,,,http://localhost:8011
write,key-0022,1224.721,201,True,,,http://localhost:8011
write,key-0046,1229.009,201,True,,,http://localhost:8011
write,key-0053,1234.027,201,True,,,http://localhost:8011
write,key-0061,1224.106,201,True,,,http://localhost:8011
write,key-0057,1232.466,201,True,,,http://localhost:8011
write,key-0099,1231.626,201,True,,,http://localhost:8011
write,key-0039,1238.128,201,True,,,http://localhost:8011
write,key-0081,1240.512,201,True,,,http://localhost:8011
write,key-0048,1235.312,201,True,,,http://localhost:8011
write,key-0007,1229.599,201,True,,,http://localhost:8011
read,key-0056,6.642,200,True,False,48031.932,http://localhost:8014
write,key-0077,1240.899,201,True,,,http://localhost:8011
write,key-0011,1225.971,201,True,,,http://localhost:8011
read,key-0068,8.42,200,True,False,49276.427,http://localhost:8013
write,key-0050,1242.522,201,True,,,http://localhost:8011
write,key-0053,1223.484,201,True,,,http://localhost:8011
write,key-0087,1234.657,201,True,,,http://localhost:8011
write,key-0001,1240.46,201,True,,,http://localhost:8011
write,key-0028,1227.502,201,True,,,http://localhost:8011
write,key-0086,1228.356,201,True,,,http://localhost:8011
write,key-0011,1242.841,201,True,,,http://localhost:8011
write,key-0023,1234.018,201,True,,,http://localhost:8011
write,key-0096,1240.95,201,True,,,http://localhost:8011
write,key-0046,1233.194,201,True,,,http://localhost:8011
write,key-0093,1234.188,201,True,,,http://localhost:8011
write,key-0031,1233.281,201,True,,,http://localhost:8011
write,key-0095,1228.634,201,True,,,http://localhost:8011
write,key-0006,1230.793,201,True,,,http://localhost:8011
write,key-0087,1235.38,201,True,,,http://localhost:8011
read,key-0067,6.967,200,True,False,66568.251,http://localhost:8012
write,key-0054,1234.802,201,True,,,http://localhost:8011
write,key-0015,1249.868,201,True,,,http://localhost:8011
write,key-0024,1225.019,201,True,,,http://localhost:8011
write,key-0050,1228.853,201,True,,,http://localhost:8011
write,key-0026,1223.066,201,True,,,http://localhost:8011
write,key-0018,1222.509,201,True,,,http://localhost:8011
write,key-0072,1224.324,201,True,,,http://localhost:8011
write,key-0053,1226.75,201,True,,,http://localhost:8011
read,key-0090,7.27,200,True,False,75181.845,http://localhost:8014
write,key-0046,1220.104,201,True,,,http://localhost:8011
read,key-0057,5.998,200,True,False,75181.983,http://localhost:8014
write,key-0085,1227.428,201,True,,,http://localhost:8011
write,key-0021,1231.388,201,True,,,http://localhost:8011
write,key-0064,1227.236,201,True,,,http://localhost:8011
write,key-0042,1241.514,201,True,,,http://localhost:8011
write,key-0082,1232.699,201,True,,,http://localhost:8011
write,key-0010,1215.593,201,True,,,http://localhost:8011
write,key-0022,1234.997,201,True,,,http://localhost:8011
write,key-0092,1233.942,201,True,,,http://localhost:8011
write,key-0039,1264.791,201,True,,,http://localhost:8011
write,key-0058,1255.209,201,True,,,http://localhost:8011
write,key-0051,1239.16,201,True,,,http://localhost:8011
write,key-0003,1225.889,201,True,,,http://localhost:8011
write,key-0006,1261.12,201,True,,,http://localhost:8011
write,key-0054,1218.672,201,True,,,http://localhost:8011
write,key-0074,1220.264,201,True,,,http://localhost:8011
write,key-0040,1254.097,201,True,,,http://localhost:8011
write,key-0041,1223.731,201,True,,,http://localhost:8011
write,key-0035,1228.447,201,True,,,http://localhost:8011
read,key-0068,6.681,200,True,False,96203.622,http://localhost:8013
