op_type,key,latency_ms,status_code,ok,stale,write_read_gap_ms,node
read,key-0090,8.244,404,True,False,,http://localhost:8004
read,key-0094,2.697,404,True,False,,http://localhost:8005
read,key-0070,2.376,404,True,False,,http://localhost:8003
read,key-0064,3.264,404,True,False,,http://localhost:8005
read,key-0065,1.458,404,True,False,,http://localhost:8005
read,key-0024,1.326,404,True,False,,http://localhost:8002
read,key-0051,1.51,404,True,False,,http://localhost:8005
read,key-0078,1.843,404,True,False,,http://localhost:8002
read,key-0081,1.323,404,True,False,,http://localhost:8005
read,key-0042,1.255,404,True,False,,http://localhost:8003
read,key-0036,1.111,404,True,False,,http://localhost:8003
read,key-0008,1.035,404,True,False,,http://localhost:8004
read,key-0025,1.164,404,True,False,,http://localhost:8005
read,key-0067,1.174,404,True,False,,http://localhost:8004
write,key-0019,1.258,201,True,,,http://localhost:8001
read,key-0019,1.199,404,True,True,0.003,http://localhost:8004
read,key-0022,1.172,404,True,False,,http://localhost:8003
read,key-0038,1.289,404,True,False,,http://localhost:8004
read,key-0053,1.411,404,True,False,,http://localhost:8003
read,key-0095,1.413,404,True,False,,http://localhost:8004
read,key-0042,1.21,404,True,False,,http://localhost:8005
read,key-0087,1.074,404,True,False,,http://localhost:8003
read,key-0096,1.073,404,True,False,,http://localhost:8003
read,key-0060,8.73,404,True,False,,http://localhost:8002
write,key-0091,5.794,201,True,,,http://localhost:8001
read,key-0091,1.917,404,True,True,0.006,http://localhost:8004
read,key-0060,1.458,404,True,False,,http://localhost:8003
read,key-0041,1.492,404,True,False,,http://localhost:8003
read,key-0066,1.42,404,True,False,,http://localhost:8002
read,key-0084,1.223,404,True,False,,http://localhost:8003
read,key-0022,1.131,404,True,False,,http://localhost:8003
read,key-0058,1.101,404,True,False,,http://localhost:8005
read,key-0037,1.166,404,True,False,,http://localhost:8003
read,key-0018,1.193,404,True,False,,http://localhost:8002
write,key-0054,1.687,201,True,,,http://localhost:8001
read,key-0054,2.269,404,True,True,0.003,http://localhost:8002
read,key-0059,1.296,404,True,False,,http://localhost:8004
read,key-0077,1.202,404,True,False,,http://localhost:8004
read,key-0032,1.122,404,True,False,,http://localhost:8002
read,key-0084,1.211,404,True,False,,http://localhost:8002
read,key-0087,1.107,404,True,False,,http://localhost:8004
write,key-0048,1.379,201,True,,,http://localhost:8001
read,key-0048,3.344,404,True,True,0.003,http://localhost:8004
read,key-0057,1.186,200,True,False,,http://localhost:8005
read,key-0040,1.191,200,True,False,,http://localhost:8003
read,key-0092,1.144,404,True,False,,http://localhost:8003
read,key-0003,1.176,404,True,False,,http://localhost:8002
read,key-0032,1.122,404,True,False,,http://localhost:8005
read,key-0052,1.029,404,True,False,,http://localhost:8003
read,key-0086,1.063,200,True,False,,http://localhost:8003
read,key-0068,1.026,404,True,False,,http://localhost:8002
read,key-0082,1.004,404,True,False,,http://localhost:8003
read,key-0061,1.031,404,True,False,,http://localhost:8004
read,key-0093,1.02,404,True,False,,http://localhost:8002
read,key-0049,1.029,404,True,False,,http://localhost:8002
read,key-0055,1.121,404,True,False,,http://localhost:8003
read,key-0027,1.174,404,True,False,,http://localhost:8003
write,key-0025,1.143,201,True,,,http://localhost:8001
read,key-0025,1.2,404,True,True,0.002,http://localhost:8002
read,key-0003,1.099,404,True,False,,http://localhost:8002
read,key-0059,1.083,404,True,False,,http://localhost:8003
read,key-0025,1.188,404,True,True,,http://localhost:8002
write,key-0071,1.206,201,True,,,http://localhost:8001
read,key-0071,1.39,404,True,True,0.003,http://localhost:8005
read,key-0034,1.158,404,True,False,,http://localhost:8003
write,key-0085,1.229,201,True,,,http://localhost:8001
read,key-0085,2.349,404,True,True,0.002,http://localhost:8004
read,key-0048,1.187,404,True,True,,http://localhost:8004
read,key-0051,1.328,404,True,False,,http://localhost:8003
read,key-0045,1.31,200,True,False,,http://localhost:8005
read,key-0098,2.122,404,True,False,,http://localhost:8004
read,key-0097,5.707,404,True,False,,http://localhost:8003
read,key-0059,1.428,404,True,False,,http://localhost:8005
read,key-0083,1.406,404,True,False,,http://localhost:8002
read,key-0015,1.286,200,True,False,,http://localhost:8004
read,key-0055,1.267,404,True,False,,http://localhost:8004
read,key-0025,1.274,404,True,True,,http://localhost:8005
read,key-0049,1.329,404,True,False,,http://localhost:8004
read,key-0033,1.227,404,True,False,,http://localhost:8002
read,key-0042,1.173,404,True,False,,http://localhost:8005
write,key-0088,1.359,201,True,,,http://localhost:8001
read,key-0088,1.493,404,True,True,0.003,http://localhost:8002
read,key-0066,1.394,404,True,False,,http://localhost:8002
read,key-0083,1.562,404,True,False,,http://localhost:8004
read,key-0086,1.944,200,True,False,,http://localhost:8003
read,key-0073,1.788,404,True,False,,http://localhost:8002
read,key-0098,2.136,404,True,False,,http://localhost:8002
read,key-0061,1.676,404,True,False,,http://localhost:8005
write,key-0007,1.41,201,True,,,http://localhost:8001
read,key-0007,1.986,404,True,True,0.003,http://localhost:8003
read,key-0039,1.353,404,True,False,,http://localhost:8003
read,key-0082,7.78,404,True,False,,http://localhost:8004
read,key-0009,7.746,404,True,False,,http://localhost:8005
read,key-0097,1.729,404,True,False,,http://localhost:8005
write,key-0065,1.757,201,True,,,http://localhost:8001
read,key-0065,2.808,404,True,True,0.004,http://localhost:8004
read,key-0051,2.975,404,True,False,,http://localhost:8003
read,key-0082,2.51,404,True,False,,http://localhost:8004
read,key-0054,1.704,200,True,False,,http://localhost:8003
read,key-0003,1.265,404,True,False,,http://localhost:8005
read,key-0053,1.746,404,True,False,,http://localhost:8005
read,key-0036,1.624,404,True,False,,http://localhost:8003
write,key-0047,3.349,201,True,,,http://localhost:8001
read,key-0047,2.036,404,True,True,0.004,http://localhost:8005
read,key-0005,1.237,404,True,False,,http://localhost:8005
read,key-0040,1.322,200,True,False,,http://localhost:8003
read,key-0023,1.334,404,True,False,,http://localhost:8005
read,key-0010,1.087,404,True,False,,http://localhost:8005
read,key-0005,1.13,404,True,False,,http://localhost:8004
read,key-0044,1.139,200,True,False,,http://localhost:8004
read,key-0055,1.093,404,True,False,,http://localhost:8003
read,key-0076,1.086,404,True,False,,http://localhost:8003
read,key-0086,1.275,200,True,False,,http://localhost:8003
read,key-0071,1.279,404,True,True,,http://localhost:8002
read,key-0022,1.124,404,True,False,,http://localhost:8004
read,key-0037,1.11,404,True,False,,http://localhost:8003
read,key-0067,1.237,404,True,False,,http://localhost:8005
read,key-0012,1.139,404,True,False,,http://localhost:8003
read,key-0061,1.38,404,True,False,,http://localhost:8004
read,key-0026,1.193,200,True,False,,http://localhost:8002
read,key-0011,1.158,404,True,False,,http://localhost:8003
read,key-0094,1.115,404,True,False,,http://localhost:8002
read,key-0022,1.192,404,True,False,,http://localhost:8004
