op_type,key,latency_ms,status_code,ok,stale,write_read_gap_ms
write,key-0027,1251.9198330119252,201,True,,
read,key-0027,2.476832829415798,200,True,False,2.553224563598633
write,key-0089,1224.9401253648102,201,True,,
read,key-0089,6.865250412374735,200,True,False,7.086753845214844
read,key-0089,5.239875055849552,200,True,False,12.49384880065918
write,key-0045,1237.0853330940008,201,True,,
read,key-0045,6.042374763637781,200,True,False,6.264925003051758
read,key-0027,4.991374909877777,200,True,False,2488.7092113494873
read,key-0045,8.479416836053133,200,True,False,20.007848739624023
read,key-0045,22.30408415198326,200,True,False,42.58084297180176
read,key-0091,3.1880419701337814,404,True,False,
read,key-0089,1.7700842581689358,200,True,False,1297.3871231079102
write,key-0076,1231.7688330076635,201,True,,
read,key-0044,14.166207984089851,404,True,False,
read,key-0031,5.665292032063007,404,True,False,
write,key-0076,1245.0167089700699,201,True,,
read,key-0076,10.707041714340448,200,True,False,12.221097946166992
read,key-0089,1.808083150535822,200,True,False,3808.604955673218
write,key-0001,1234.4730831682682,201,True,,
read,key-0076,7.285584229975939,200,True,False,1256.1371326446533
read,key-0048,4.490375053137541,404,True,False,
write,key-0089,1244.903499726206,201,True,,
read,key-0089,5.181083921343088,200,True,False,5.328178405761719
read,key-0029,3.4595001488924026,404,True,False,
write,key-0092,1242.8067079745233,201,True,,
read,key-0092,4.297582898288965,200,True,False,4.377126693725586
read,key-0045,3.006457816809416,200,True,False,6309.8108768463135
read,key-0019,2.1973331458866596,404,True,False,
write,key-0076,1232.1694171987474,201,True,,
read,key-0089,6.09662476927042,200,True,False,2500.0340938568115
read,key-0076,16.30500005558133,200,True,False,22.79806137084961
read,key-0045,4.53241728246212,200,True,False,7571.807861328125
read,key-0089,9.510958101600409,200,True,False,2530.880928039551
read,key-0022,9.04299970716238,404,True,False,
write,key-0044,1222.474583890289,201,True,,
read,key-0076,3.615916706621647,200,True,False,1272.676706314087
read,key-0045,2.303041983395815,200,True,False,8819.346904754639
write,key-0006,1227.7379161678255,201,True,,
write,key-0056,1243.5729168355465,201,True,,
read,key-0076,9.342832956463099,200,True,False,3756.1898231506348
write,key-0001,1237.8885406069458,201,True,,
write,key-0074,1230.948207899928,201,True,,
read,key-0036,45.54137494415045,404,True,False,
read,key-0045,5.179791245609522,200,True,False,13822.295904159546
write,key-0074,1230.74108408764,201,True,,
write,key-0006,1232.6295408420265,201,True,,
read,key-0070,6.817792076617479,404,True,False,
read,key-0085,5.114957690238953,404,True,False,
read,key-0001,4.156417213380337,200,True,False,3774.807929992676
write,key-0076,1247.8206660598516,201,True,,
write,key-0056,1226.556499954313,201,True,,
write,key-0092,1227.0610840059817,201,True,,
write,key-0076,1233.1858752295375,201,True,,
write,key-0076,1228.3479999750853,201,True,,
read,key-0094,6.1986250802874565,404,True,False,
read,key-0074,6.101750303059816,200,True,False,7426.018953323364
read,key-0076,4.960208665579557,200,True,False,17.86208152770996
read,key-0074,5.4095410741865635,200,True,False,7436.72513961792
read,key-0014,5.509375128895044,404,True,False,
read,key-0023,4.232625011354685,404,True,False,
read,key-0076,3.8713342510163784,200,True,False,37.468910217285156
read,key-0092,3.8236663676798344,200,True,False,2503.3528804779053
read,key-0092,4.0410831570625305,200,True,False,2507.4849128723145
write,key-0033,1238.3183748461306,201,True,,
read,key-0030,5.024416837841272,404,True,False,
read,key-0045,4.060166887938976,200,True,False,23770.620107650757
read,key-0044,4.335000179708004,200,True,False,14961.81869506836
write,key-0018,1237.4765421263874,201,True,,
read,key-0023,5.541791208088398,404,True,False,
read,key-0074,3.6683748476207256,200,True,False,9958.184003829956
write,key-0074,1225.7217918522656,201,True,,
read,key-0074,2.9857088811695576,200,True,False,3.0732154846191406
write,key-0096,1220.6580000929534,201,True,,
read,key-0076,7.070917170494795,200,True,False,5001.8181800842285
read,key-0074,4.968792200088501,200,True,False,1236.255168914795
write,key-0033,1220.4241659492254,201,True,,
write,key-0018,1236.1929579637945,201,True,,
write,key-0092,1230.9190416708589,201,True,,
write,key-0006,1238.791042007506,201,True,,
read,key-0006,4.794750362634659,200,True,False,4.931926727294922
read,key-0076,2.448124811053276,200,True,False,9941.986083984375
read,key-0018,1.9127922132611275,200,True,False,2480.077028274536
write,key-0096,1220.4416673630476,201,True,,
read,key-0076,5.993708968162537,200,True,False,11170.714855194092
read,key-0052,4.366874694824219,404,True,False,
read,key-0076,4.194875247776508,200,True,False,11179.493188858032
write,key-0092,1227.6308750733733,201,True,,
read,key-0056,5.072500091046095,200,True,False,16101.615190505981
write,key-0018,1227.908540982753,201,True,,
read,key-0021,6.712458096444607,404,True,False,
write,key-0072,1232.2695832699537,201,True,,
read,key-0096,6.798666901886463,200,True,False,3722.397804260254
write,key-0041,1232.7379998750985,201,True,,
write,key-0084,1227.3248746059835,201,True,,
read,key-0006,6.8228342570364475,200,True,False,7419.764995574951
read,key-0003,8.460917044430971,404,True,False,
write,key-0033,1235.0887078791857,201,True,,
write,key-0076,1240.7176666893065,201,True,,
write,key-0099,1235.2261249907315,201,True,,
read,key-0018,13.160125352442265,200,True,False,7447.34525680542
read,key-0090,4.851833917200565,404,True,False,
read,key-0066,8.780334144830704,404,True,False,
write,key-0033,1233.7169577367604,201,True,,
write,key-0099,1231.616707984358,201,True,,
read,key-0048,5.924500059336424,404,True,False,
read,key-0076,4.3004159815609455,200,True,False,3739.2477989196777
read,key-0007,12.238374911248684,404,True,False,
read,key-0018,11.572792194783688,200,True,False,9961.716890335083
write,key-0033,1233.4832497872412,201,True,,
read,key-0092,7.319167256355286,200,True,False,12438.736200332642
read,key-0032,4.8047080636024475,404,True,False,
write,key-0099,1228.801416233182,201,True,,
read,key-0004,6.455583032220602,404,True,False,
read,key-0033,4.595959093421698,200,True,False,1253.0138492584229
read,key-0076,3.005832899361849,200,True,False,6255.363702774048
read,key-0092,4.758249968290329,200,True,False,13691.849946975708
write,key-0018,1242.1670421026647,201,True,,
read,key-0018,2.5077909231185913,200,True,False,2.8972625732421875
read,key-0018,1.753291580826044,200,True,False,4.700899124145508
read,key-0084,1.6429577954113483,200,True,False,10000.606060028076
read,key-0096,2.4525001645088196,200,True,False,16185.858011245728
read,key-0072,1.8256669864058495,200,True,False,12472.345113754272
write,key-0018,1228.025333955884,201,True,,
read,key-0099,5.4604592733085155,200,True,False,2506.12211227417
read,key-0099,4.216041881591082,200,True,False,2510.449171066284
read,key-0038,4.341625142842531,404,True,False,
read,key-0033,3.3025420270860195,200,True,False,3760.091781616211
read,key-0092,4.069124814122915,200,True,False,16195.122003555298
read,key-0050,4.2091249488294125,404,True,False,
read,key-0033,3.14641697332263,200,True,False,3771.7859745025635
write,key-0084,1226.9334997981787,201,True,,
read,key-0084,16.23591687530279,200,True,False,16.414880752563477
read,key-0033,4.329457879066467,200,True,False,5019.783973693848
read,key-0018,3.065959084779024,200,True,False,1280.8260917663574
read,key-0069,3.7629581056535244,404,True,False,
read,key-0099,11.925708968192339,200,True,False,3797.152042388916
write,key-0018,1234.4389157369733,201,True,,
read,key-0099,3.7301252596080303,200,True,False,5035.6080532073975
read,key-0084,2.795333042740822,200,True,False,1281.383991241455
read,key-0011,4.622458945959806,404,True,False,
read,key-0099,4.19658375903964,200,True,False,5047.505140304565
read,key-0008,2.506499644368887,404,True,False,
read,key-0018,3.3702910877764225,200,True,False,21.725893020629883
read,key-0099,5.543500185012817,200,True,False,5059.0972900390625
read,key-0071,3.994249738752842,404,True,False,
read,key-0092,2.469040919095278,200,True,False,18738.288164138794
read,key-0041,2.5619170628488064,200,True,False,15028.395652770996
read,key-0018,2.3112078197300434,200,True,False,38.861751556396484
